Product SKU,Product Name,Product Description,Product Price,Product Quantity,Shipping Region,Product  Category,Sub category,Hover Image (Secondary image),Product image1,Product image2,Product image3,Product image4,Product image5,"Product sub attribute Name(Childerns, Adults)",Back order,variant_color,variant_size
203197145008,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 3mm 0.35gr 8032.3 Wbb ,55,4,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_001(corregida).jpg,,,,,"24,26",Yes,yellow,3mm
240281071775,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 4mm 0.40gr 8032.4 Wbb,60,0,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_001(corregida).jpg,,,,,"24,26",Yes,yellow,4mm
240261831474,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 5mm 0.50gr 8032.5 Wbb,70,2,"USA,MX","1,2","9,10,16,29",,Vaskia_001(corregida).jpg,,,,,"25,27",Yes,yellow,5mm
240306469327,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 6mm 0.60gr 8032.6 Wbb,80,1,"USA,MX","1,2","9,10,16,30",,Vaskia_001(corregida).jpg,,,,,"25,27",Yes,yellow,6mm
203163185007,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 7mm 0.75gr 8032.7 Wbb,95,0,"USA,MX","1,2","9,16,31",,Vaskia_001(corregida).jpg,,,,,25,Yes,yellow,7mm
243547629260,18Kt Yellow Gold Sphere Earrings,18 Kt Yellow Gold Sphere Earrings 8mm 0.80gr 8032.8 Wbb,125,2,"USA,MX","1,2","9,16,32",,Vaskia_001(corregida).jpg,,,,,25,Yes,yellow,8mm
240191510906,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 3mm 0.35gr 8032.3G Wbb,55,0,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_009(corregida).jpg,,,,,"24,26",Yes,white,3mm
261715115582,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 4mm 0.40gr 8032.4G Wbb,60,1,"USA,MX","1,2,3","9,16,25,27,32",,Vaskia_009(corregida).jpg,,,,,"24,26",Yes,white,4mm
240237405777,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 5mm 0.50gr 8032.5G Wbb,70,2,"USA,MX","1,2","9,10,16,29",,Vaskia_009(corregida).jpg,,,,,"25,27",Yes,white,5mm
202494170003,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 6mm 0.60gr 8032.6G Wbb,80,2,"USA,MX","1,2","9,10,16,30",,Vaskia_009(corregida).jpg,,,,,"25,27",Yes,white,6mm
202505185002,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 7mm 0.75gr 8032.7G Wbb,95,0,"USA,MX","1,2","9,16,31",,Vaskia_009(corregida).jpg,,,,,25,Yes,white,7mm
261734028627,18Kt White Gold Sphere Earrings,18 Kt White Gold Sphere Earrings 8mm 0.80gr 8032.8G Wbb,125,0,"USA,MX","1,2","9,16,32",,Vaskia_009(corregida).jpg,,,,,25,Yes,white,8mm
259225889529,18Kt Yellow Gold Concave Flower Earrings,18Kt Yellow Gold Concave Flower Earrings 11mm 1.15gr,180,1,USA,"1,2","9,16,27",,Vaskia_004(corregida).jpg,,,,,25,No,yellow,11mm
200583119001,18Kt White Gold Concave Flower Earrings,18Kt White Gold Concave Flower Earrings 11mm 1.10gr Cat/50,180,0,USA,"1,2","9,16,27",,Vaskia_019(corregida).jpg,,,,,25,No,white,11mm
200587119007,18Kt Yellow Gold Concave Heart Earrings,18Kt Yellow  Gold Concave Heart Earrings 11mm 1.10gr Cat/50,180,5,USA,"1,2","9,16,21",,Vaskia_011(corregida).jpg,,,,,25,No,yellow,11mm
225858544982,18Kt White Gold Concave Heart Earrings,18Kt White  Gold Concave Heart Earrings 11mm 1.10gr Cat/50,180,1,USA,"1,2","9,16,21",,Vaskia_005(corregida).jpg,,,,,25,No,white,11mm
200350144007,18Kt White Gold Sphere Monachella Earrings,18Kt White Gold Sphere Monachella Earrings 10mm 3.30gr Cat/20,340,2,USA,"1,2","9,16",,Vaskia_006(corregida).jpg,,,,,25,Yes,,
224642855082,18Kt Yellow Gold Flat Sphere with Yellow Gold Hoop,18Kt Yellow Gold Flat Sphere 18mm with Yellow Gold Hoop 12mm 5.70gr Cat/46 ,890,0,USA,"1,2","9,16,17,27",,Vaskia_013(corregida).jpg,,,,,25,No,yellow,12mm
200254192906,18Kt White Gold Flat Sphere with Yellow Gold Hoop,18Kt White Gold Flat Sphere 18mm with Yellow Gold Hoop 12mm 5.70gr Cat/46 ,890,1,USA,"1,2","9,16,17,27",,Vaskia_010(corregida).jpg,,,,,25,Yes,white,12mm
200256193505,18Kt  Rose Gold Flat Sphere with White Gold Hoop,18Kt Rose Gold Flat Sphere 18mm with White Gold Hoop 12mm 5.70gr Cat/46,890,1,USA,"1,2","9,16,17,27",,Vaskia_012(corregida).jpg,,,,,25,Yes,,
